   5.59999990       12.1363897       2.16721249    
   5.63999987       12.2140656       2.16561460    
   5.67999983       12.2914019       2.16397929    
   5.71999979       12.3688536       2.16238713    
   5.75999975       12.4455395       2.16068411    
   5.79999971       12.5220003       2.15896559    
   5.83999968       12.5981846       2.15722346    
   5.87999964       12.6744442       2.15551782    
   5.92000008       12.7505035       2.15380120    
   5.96000004       12.8271732       2.15221024    
   6.00000000       12.9030905       2.15051508    
   6.03999996       12.9791422       2.14886451    
   6.07999992       13.0551767       2.14723301    
   6.11999989       13.1308842       2.14556932    
   6.15999985       13.2068043       2.14396167    
   6.19999981       13.2825718       2.14235044    
   6.23999977       13.3583546       2.14076209    
   6.27999973       13.4341450       2.13919520    
   6.31999969       13.5093307       2.13755250    
   6.35999966       13.5843077       2.13589764    
   6.39999962       13.6595345       2.13430238    
   6.44000006       13.7353888       2.13282442    
   6.48000002       13.8112307       2.13136268    
   6.51999998       13.8869925       2.12990689    
   6.55999994       13.9623947       2.12841392    
   6.59999990       14.0377445       2.12693095    
   6.63999987       14.1129704       2.12544727    
   6.67999983       14.1875677       2.12388754    
   6.71999979       14.2625637       2.12240529    
   6.75999975       14.3374281       2.12092137    
   6.79999971       14.4121828       2.11943865    
   6.83999968       14.4868088       2.11795449    
   6.87999964       14.5610027       2.11642504    
   6.92000008       14.6350393       2.11489010    
   6.96000004       14.7096395       2.11345387    
   7.00000000       14.7838669       2.11198092    
   7.03999996       14.8582096       2.11054111    
   7.07999992       14.9325724       2.10912037    
   7.11999989       15.0067806       2.10769391    
   7.15999985       15.0811386       2.10630441    
   7.19999981       15.1550999       2.10487509    
   7.23999977       15.2287779       2.10342240    
   7.27999973       15.3024349       2.10198283    
   7.31999969       15.3757696       2.10051513    
   7.35999966       15.4486694       2.09900403    
   7.39999962       15.5214310       2.09749079    
   7.44000006       15.5942144       2.09599662    
   7.48000002       15.6666317       2.09446955    
   7.51999998       15.7389736       2.09294868    
   7.55999994       15.8110447       2.09140801    
   7.59999990       15.8833847       2.08991909    
   7.63999987       15.9553213       2.08839297    
   7.67999983       16.0279732       2.08697581    
   7.71999979       16.1006660       2.08557844    
   7.75999975       16.1726341       2.08410239    
   7.79999971       16.2444668       2.08262396    
   7.83999968       16.3165417       2.08119154    
   7.87999964       16.3883877       2.07974482    
   7.91999960       16.4598885       2.07826877    
   7.96000004       16.5309372       2.07675099    
   8.00000000       16.6029530       2.07536912    
   8.03999996       16.6744938       2.07394195    
   8.07999992       16.7457848       2.07249808    
   8.11999989       16.8170090       2.07106018    
   8.15999985       16.8875885       2.06955743    
   8.19999981       16.9579487       2.06804252    
   8.23999977       17.0286522       2.06658411    
   8.27999973       17.0998898       2.06520414    
   8.31999969       17.1710281       2.06382561    
   8.35999966       17.2422066       2.06246495    
   8.39999962       17.3127632       2.06104326    
   8.43999958       17.3838520       2.05969810    
   8.47999954       17.4543629       2.05829763    
   8.51999950       17.5247402       2.05689454    
   8.55999947       17.5950031       2.05549121    
   8.59999943       17.6652546       2.05409956    
   8.63999939       17.7359772       2.05277538    
   8.67999935       17.8064423       2.05143356    
   8.72000027       17.8769684       2.05011106    
   8.76000023       17.9467888       2.04872012    
   8.80000019       18.0166931       2.04735136    
   8.84000015       18.0863533       2.04596758    
   8.88000011       18.1560402       2.04459906    
